,Group.1,Quantile,X,folioviv,foliohog,ubica_geo,ageb,tam_loc,est_socio.x,upm,factor_hog,clase_hog,sexo_jefe.x,edad_jefe,educa_jefe.x,tot_integ.x,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,Energy2014,percep_tot,Quantile.1,Income2014,folioviv.1,foliohog.1,ubica_geo.1,ageb.1,tam_loc.1,est_socio.x.1,upm.1,Intercept,Elasticity_Income_Electricity,Coef_socio,Coef_sexo_jefe,Coef_educa_jefe,Coef_tot_members,Coef_educ_sex_jefe,Income2014,sexo_jefe.educa_jefe,Income2015,Income2016,Income2017,Income2018,Income2019,Income2020,Income2021,Income2022,Income2023,Income2024,Income2025,Income2026,Income2027,Income2028,Income2029,Energy2014,Income2030,Energy2015,Energy2016,Energy2017,Energy2018,Energy2019,Energy2020,Energy2021,Energy2022,Energy2023,Energy2024,Energy2025,Energy2026,Energy2027,Energy2028,Energy2029,Energy2030
21,21,21,12549.15789,2218650746,1.052631579,217740102.9,NA,3.473684211,1.263157895,17730,1551.578947,2.263157895,1.157894737,43.26315789,3.894736842,4.526315789,2.105263158,2.421052632,3.105263158,1.421052632,2.894736842,0.210526316,299.4341516,22.67936632,48.90071053,21,12549.15789,2218650746,1.052631579,217740102.9,NA,3.473684211,1.263157895,17730,76.93040379,-2.444692152,0.39815263,0.320434363,0.289553419,0.092172512,0.179791114,7108.874737,-0.059474771,12800.14105,13056.14387,13317.26675,13583.61209,13855.28433,14132.39001,14415.03781,14703.33857,14997.40534,15297.35345,15603.30052,15915.36653,16233.67386,16558.34734,16889.51428,4.706578947,17227.30457,21.57048494,20.51582103,19.5127237,18.55867165,17.65126687,16.7882286,15.96738759,15.18668064,14.44414546,13.73791568,13.06621619,12.42735867,11.81973734,11.24182496,10.69216893,10.1693877
22,22,22,10688.95,1930204681,1.15,190562536,NA,2.9,1.45,15408.5,1934.65,2.3,1,37.75,4.65,5.35,2.7,2.65,2.95,2.4,2.9,0.05,383.4902435,22.6886415,35.1182265,22,10688.95,1930204681,1.15,190562536,NA,2.9,1.45,15408.5,78.25815857,-2.359236236,0.386020996,0.322654666,0.282322829,0.093105016,0.177697517,8543.03,-0.057551363,10902.729,11120.78358,11343.19925,11570.06324,11801.4645,12037.49379,12278.24367,12523.80854,12774.28471,13029.77041,13290.36581,13556.17313,13827.29659,14103.84252,14385.91937,5.19645,14673.63776,21.6180842,20.59804084,19.62612796,18.70007451,17.81771664,16.97699259,16.17593787,15.41268069,14.6854376,13.99250927,13.33227657,12.70319677,12.10379993,11.53268546,10.98851887,10.47002863
23,23,23,10872.2,1919322154,1.05,187958042,NA,3.8,1.3,15101,1346.35,2.05,1.15,44.95,3.5,5.15,2.45,2.7,3.05,2.1,2.8,0.25,387.648359,24.5945945,24.5243775,23,10872.2,1919322154,1.05,187958042,NA,3.8,1.3,15101,80.04113545,-2.364368239,0.389130148,0.321423689,0.271610385,0.090241732,0.182818085,8411.6885,-0.055115857,11089.644,11311.43688,11537.66562,11768.41893,12003.78731,12243.86305,12488.74032,12738.51512,12993.28542,13253.15113,13518.21416,13788.57844,14064.35001,14345.63701,14632.54975,4.975166,14925.20074,23.43158094,22.32356322,21.26794075,20.26223587,19.30408813,18.39124868,17.52157499,16.69302588,15.90365668,15.15161467,14.43513474,13.75253525,13.1022141,12.48264492,11.89237354,11.33001454
24,24,24,10473.47368,1861153593,1.052631579,182124295.5,NA,3.578947368,1.421052632,14761.57895,1377.105263,2.473684211,1.368421053,48.84210526,3.736842105,5.210526316,2.263157895,2.947368421,3.789473684,1.421052632,3.526315789,0.263157895,410.4315305,29.56531053,16.22949632,24,10473.47368,1861153593,1.052631579,182124295.5,NA,3.578947368,1.421052632,14761.57895,81.96330769,-2.384635036,0.402068004,0.314786365,0.248945532,0.081875458,0.184857248,8707.367895,-0.049185552,10682.94316,10896.60202,11114.53406,11336.82474,11563.56124,11794.83246,12030.72911,12271.34369,12516.77057,12767.10598,13022.4481,13282.89706,13548.555,13819.5261,14095.91662,3.128263158,14377.83496,28.15526102,26.81246058,25.53370192,24.31593072,23.15623831,22.05185477,21.00014226,19.99858876,19.04480205,18.13650401,17.27152515,16.44779947,15.66335949,14.91633158,14.20493144,13.52745989
25,25,25,10801.95,1896993572,1.1,186914519.9,NA,3,1.45,15191.5,1362.95,2.4,1.2,48.75,3.5,5.9,2.85,3.05,3.9,2,3.75,0.15,476.70434,32.260767,14.304276,25,10801.95,1896993572,1.1,186914519.9,NA,3,1.45,15191.5,83.19575385,-2.353945612,0.399006078,0.319600024,0.2365955,0.079836484,0.186845565,10020.584,-0.047904404,11017.989,11238.34878,11463.11576,11692.37807,11926.22563,12164.75014,12408.04515,12656.20605,12909.33017,13167.51678,13430.86711,13699.48445,13973.47414,14252.94362,14538.0025,6.437375,14828.76255,30.74196518,29.2946669,27.91550585,26.6012742,25.34891515,24.15551579,23.01830039,21.93462384,20.90196561,19.91792381,18.98020962,18.086642,17.23514257,16.4237308,15.65051942,14.91370999
26,26,26,10295.6,1850290660,1,182211554.9,NA,3.1,1.45,14625,1542.8,2.4,1.1,41.45,3.55,5.3,2.65,2.65,3.45,1.85,3.3,0.15,426.2019755,36.961288,20.479697,26,10295.6,1850290660,1,182211554.9,NA,3.1,1.45,14625,84.30810826,-2.338747869,0.403907214,0.317917728,0.216353751,0.075540946,0.187393929,9115.9525,-0.045068487,10501.512,10711.54224,10925.77308,11144.28855,11367.17432,11594.5178,11826.40816,12062.93632,12304.19505,12550.27895,12801.28453,13057.31022,13318.45642,13584.82555,13856.52206,9.89555,14133.65251,35.23242533,33.58443014,32.01351985,30.51608882,29.08870007,27.72807736,26.43109773,25.19478426,24.0162993,22.89293792,21.82212173,20.80139291,19.82840864,18.90093568,18.01684521,17.17410805
27,27,27,9277.947368,1658351752,1.052631579,162258005.9,NA,3.526315789,1.473684211,13044.21053,1598.052632,2.368421053,1.105263158,45.36842105,4.157894737,5.105263158,2.578947368,2.526315789,3.368421053,1.736842105,3.105263158,0.263157895,425.51355,21.12065053,10.10841632,27,9277.947368,1658351752,1.052631579,162258005.9,NA,3.526315789,1.473684211,13044.21053,85.34750844,-2.292036249,0.410573021,0.308968095,0.187152752,0.068967415,0.187475337,8890.244211,-0.041250332,9463.506316,9652.776442,9845.831971,10042.74861,10243.60358,10448.47565,10657.44517,10870.59407,11088.00595,11309.76607,11535.96139,11766.68062,12002.01423,12242.05452,12486.89561,3.036710526,12736.63352,20.15246459,19.22866101,18.34720525,17.50615606,16.70366117,15.93795323,15.2073459,14.51023014,13.84507067,13.2104026,12.60482816,12.0270137,11.47568667,10.94963288,10.44769377,9.968763912
28,28,28,10218.75,1826560066,1.05,178930565.7,NA,3.65,1.2,14486,1615.4,2.45,1.15,50.8,2.95,5.65,2.75,2.9,3.8,1.85,3.5,0.3,445.4185015,17.168914,44.610335,28,10218.75,1826560066,1.05,178930565.7,NA,3.65,1.2,14486,86.69316124,-2.259249115,0.414959552,0.304841012,0.160512587,0.063206627,0.18982507,10000.5885,-0.037905304,10423.125,10631.5875,10844.21925,11061.10364,11282.32571,11507.97222,11738.13167,11972.8943,12212.35219,12456.59923,12705.73121,12959.84584,13219.04275,13483.42361,13753.09208,1.696625,14028.15392,16.39313692,15.65241332,14.9451593,14.26986255,13.62507906,13.0094301,12.42159923,11.86032949,11.32442071,10.81272697,10.32415409,9.857657369,9.412239295,8.986947429,8.580872369,8.193145803
29,29,29,11602.31579,2058454095,1.052631579,202672690.7,NA,3.368421053,1.315789474,16408.94737,1819.684211,2.210526316,1.263157895,44.84210526,3.894736842,4.736842105,2.368421053,2.368421053,2.842105263,1.894736842,2.684210526,0.157894737,395.9758342,25.54509263,20.91933789,29,11602.31579,2058454095,1.052631579,202672690.7,NA,3.368421053,1.315789474,16408.94737,88.01700431,-2.244833114,0.413370476,0.304788682,0.162927877,0.061383704,0.191665656,8508.064737,-0.036370681,11834.36211,12071.04935,12312.47033,12558.71974,12809.89414,13066.09202,13327.41386,13593.96214,13865.84138,14143.15821,14426.02137,14714.5418,15008.83263,15309.00929,15615.18947,5.631131579,15927.49326,24.39820323,23.30280534,22.25658716,21.25734069,20.30295704,19.39142203,18.52081191,17.68928927,16.89509922,16.13656566,15.41208772,14.72013642,14.05925143,13.42803797,12.82516388,12.24935683
30,30,30,10836,1924114691,1,188083073.4,NA,3.55,1.25,15223.5,1417.75,2.2,1.05,41.05,4.2,5.4,2.85,2.55,3.35,2.05,3.15,0.2,431.1850795,21.336952,50.119307,30,10836,1924114691,1,188083073.4,NA,3.55,1.25,15223.5,89.12829183,-2.212104692,0.409013933,0.308171845,0.160312954,0.059970788,0.191836472,9822.5385,-0.03535715,11052.72,11273.7744,11499.24989,11729.23489,11963.81958,12203.09598,12447.15789,12696.10105,12950.02307,13209.02354,13473.20401,13742.66809,14017.52145,14297.87188,14583.82931,1.4455,14875.5059,20.39296057,19.49073329,18.62842244,17.80426203,17.0165642,16.26371577,15.54417493,14.85646808,14.19918683,13.57098507,12.97057628,12.39673082,11.8482735,11.32408107,10.82308001,10.34424429
