,Group.1,Quantile,X,folioviv,foliohog,ubica_geo,ageb,tam_loc,est_socio.x,upm,factor_hog,clase_hog,sexo_jefe.x,edad_jefe,educa_jefe.x,tot_integ.x,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,Energy2014,percep_tot,Quantile.1,Income2014,folioviv.1,foliohog.1,ubica_geo.1,ageb.1,tam_loc.1,est_socio.x.1,upm.1,Intercept,Elasticity_Income_Electricity,Coef_socio,Coef_sexo_jefe,Coef_educa_jefe,Coef_tot_members,Coef_educ_sex_jefe,Income2014,sexo_jefe.educa_jefe,Income2015,Income2016,Income2017,Income2018,Income2019,Income2020,Income2021,Income2022,Income2023,Income2024,Income2025,Income2026,Income2027,Income2028,Income2029,Income2030,Energy2015,Energy2016,Energy2017,Energy2018,Energy2019,Energy2020,Energy2021,Energy2022,Energy2023,Energy2024,Energy2025,Energy2026,Energy2027,Energy2028,Energy2029,Energy2030
21,21,21,12549.15789,2218650746,1.052631579,217740102.9,NA,3.473684211,1.263157895,17730,1551.578947,2.263157895,1.157894737,43.26315789,3.894736842,4.526315789,2.105263158,2.421052632,3.105263158,1.421052632,2.894736842,0.210526316,299.4341516,22.67936632,48.90071053,21,12549.15789,2218650746,1.052631579,217740102.9,NA,3.473684211,1.263157895,17730,76.93040379,-2.444692152,0.39815263,0.320434363,0.289553419,0.092172512,0.179791114,7108.874737,-0.059474771,12781.01355,13042.41581,13296.38925,13569.56032,13835.89328,14118.64489,14398.3329,14690.30166,14982.96232,15284.77581,15590.63052,15902.9811,16222.78127,16546.50669,16879.73363,17215.45799,21.6836721,20.48376871,19.54821141,18.52375156,17.67396806,16.76294977,15.97786243,15.17211297,14.44802976,13.73110184,13.06574689,12.42587988,11.81527647,11.24356943,10.68705177,10.17327157
22,22,22,10688.95,1930204681,1.15,190562536,NA,2.9,1.45,15408.5,1934.65,2.3,1,37.75,4.65,5.35,2.7,2.65,2.95,2.4,2.9,0.05,383.4902435,22.6886415,35.1182265,22,10688.95,1930204681,1.15,190562536,NA,2.9,1.45,15408.5,78.25815857,-2.359236236,0.386020996,0.322654666,0.282322829,0.093105016,0.177697517,8543.03,-0.057551363,10900.13313,11118.92049,11340.36588,11568.15621,11798.83286,12035.62838,12275.97657,12522.03925,12772.32459,13028.06344,13288.64631,13554.49225,13825.81831,14102.23558,14384.592,14672.03001,21.61932144,20.5976905,19.62651677,18.69969148,17.81796626,16.97671425,16.17605347,15.41251967,14.68548062,13.99243366,13.33227135,12.7031803,12.10375015,11.53270496,10.98846156,10.47007221
23,23,23,10872.2,1919322154,1.05,187958042,NA,3.8,1.3,15101,1346.35,2.05,1.15,44.95,3.5,5.15,2.45,2.7,3.05,2.1,2.8,0.25,387.648359,24.5945945,24.5243775,23,10872.2,1919322154,1.05,187958042,NA,3.8,1.3,15101,80.04113545,-2.364368239,0.389130148,0.321423689,0.271610385,0.090241732,0.182818085,8411.6885,-0.055115857,11084.45225,11307.71069,11531.99887,11764.60488,11998.52402,12240.13223,12484.20613,12734.97653,12989.36517,13249.7372,13514.77516,13785.21668,14061.39345,14340.81617,14629.895,14920.37749,23.53337481,22.2944499,21.30014968,20.2303975,19.32475963,18.36814442,17.53114227,16.67968418,15.90721474,15.14535994,14.43470355,13.75117435,13.09810268,12.6890706,11.68341816,11.51238269
24,24,24,10473.47368,1861153593,1.052631579,182124295.5,NA,3.578947368,1.421052632,14761.57895,1377.105263,2.473684211,1.368421053,48.84210526,3.736842105,5.210526316,2.263157895,2.947368421,3.789473684,1.421052632,3.526315789,0.263157895,410.4315305,29.56531053,16.22949632,24,10473.47368,1861153593,1.052631579,182124295.5,NA,3.578947368,1.421052632,14761.57895,81.96330769,-2.384635036,0.402068004,0.314786365,0.248945532,0.081875458,0.184857248,8707.367895,-0.049185552,10677.47816,10892.67972,11108.56906,11332.80995,11558.02094,11790.90528,12025.95628,12267.61886,12512.64399,12763.51237,13018.8281,13279.35837,13545.44283,13816.14306,14093.12215,14374.45022,28.16925655,26.80845106,25.5381331,24.31154917,23.15907973,22.04867866,21.0014561,19.99675688,19.04529019,18.13564617,17.27146605,16.44761302,15.66279648,14.91655186,14.20428424,13.52795126
25,25,25,10801.95,1896993572,1.1,186914519.9,NA,3,1.45,15191.5,1362.95,2.4,1.2,48.75,3.5,5.9,2.85,3.05,3.9,2,3.75,0.15,476.70434,32.260767,14.304276,25,10801.95,1896993572,1.1,186914519.9,NA,3,1.45,15191.5,83.19575385,-2.353945612,0.399006078,0.319600024,0.2365955,0.079836484,0.186845565,10020.584,-0.047904404,11007.6055,11230.8964,11451.78226,11684.74997,11915.69906,12157.2885,12398.97677,12649.12887,12901.48967,13160.68892,13423.98911,13692.76093,13967.56102,14246.51584,14532.693,14822.33155,30.81647095,29.27344533,27.93901939,26.57806109,25.36401335,24.13865499,23.02529252,21.92487636,20.90456776,19.91334948,18.97989408,18.08564584,17.23213214,16.42490997,15.64705347,14.91634469
26,26,26,10295.6,1850290660,1,182211554.9,NA,3.1,1.45,14625,1542.8,2.4,1.1,41.45,3.55,5.3,2.65,2.65,3.45,1.85,3.3,0.15,426.2019755,36.961288,20.479697,26,10295.6,1850290660,1,182211554.9,NA,3.1,1.45,14625,84.30810826,-2.338747869,0.403907214,0.317917728,0.216353751,0.075540946,0.187393929,9115.9525,-0.045068487,10488.53263,10702.22677,10911.60621,11134.75342,11354.0161,11585.19075,11815.07268,12054.08985,12294.39442,12541.74413,12792.68703,13048.90582,13311.06502,13576.79083,13849.88519,14125.61376,35.3440281,33.55270782,32.0487044,30.48137148,29.11130733,27.70283758,26.4415751,25.18017781,24.02020152,22.88607685,21.82164819,20.79989746,19.82388762,18.90270741,18.01163625,17.17806985
27,27,27,9277.947368,1658351752,1.052631579,162258005.9,NA,3.526315789,1.473684211,13044.21053,1598.052632,2.368421053,1.105263158,45.36842105,4.157894737,5.105263158,2.578947368,2.526315789,3.368421053,1.736842105,3.105263158,0.263157895,425.51355,21.12065053,10.10841632,27,9277.947368,1658351752,1.052631579,162258005.9,NA,3.526315789,1.473684211,13044.21053,85.34750844,-2.292036249,0.410573021,0.308968095,0.187152752,0.068967415,0.187475337,8890.244211,-0.041250332,9452.576316,9644.931832,9833.901971,10034.71903,10232.52298,10440.6213,10647.8995,10863.14441,11079.75279,11302.57885,11528.72139,11759.60323,11995.7899,12235.28843,12481.30666,12729.86405,20.19080956,19.21774523,18.35932234,17.49418593,16.71146203,15.92923432,15.21096823,14.50517498,13.84642239,13.20802355,12.60466381,12.02649417,11.47411452,10.95024957,10.44587888,9.970145558
28,28,28,10218.75,1826560066,1.05,178930565.7,NA,3.65,1.2,14486,1615.4,2.45,1.15,50.8,2.95,5.65,2.75,2.9,3.8,1.85,3.5,0.3,445.4185015,17.168914,44.610335,28,10218.75,1826560066,1.05,178930565.7,NA,3.65,1.2,14486,86.69316124,-2.259249115,0.414959552,0.304841012,0.160512587,0.063206627,0.18982507,10000.5885,-0.037905304,10425.52913,10636.22441,10848.38588,11067.19661,11287.94407,11514.85681,11744.61457,11980.125,12219.39206,12464.14226,12713.51171,12967.91496,13227.56447,13491.81667,13762.76471,14037.54617,9.758482733,14.88104788,14.78578194,13.91904696,13.59685058,12.8968781,12.4750042,11.83712035,11.37211489,10.7943477,10.30905069,9.844507722,9.400529286,9.024686243,8.437909327,8.22852194
29,29,29,11602.31579,2058454095,1.052631579,202672690.7,NA,3.368421053,1.315789474,16408.94737,1819.684211,2.210526316,1.263157895,44.84210526,3.894736842,4.736842105,2.368421053,2.368421053,2.842105263,1.894736842,2.684210526,0.157894737,395.9758342,25.54509263,20.91933789,29,11602.31579,2058454095,1.052631579,202672690.7,NA,3.368421053,1.315789474,16408.94737,88.01700431,-2.244833114,0.413370476,0.304788682,0.162927877,0.061383704,0.191665656,8508.064737,-0.036370681,11823.43211,12063.20474,12300.54033,12550.69016,12798.81354,13058.23766,13317.8682,13586.51247,13857.58822,14135.97099,14418.78137,14707.46441,15002.6083,15302.2432,15609.60052,15920.72379,24.41879205,23.29695082,22.26309652,21.25090865,20.3071561,19.3867266,18.52276577,17.68656057,16.89582987,16.13527859,15.4119987,14.71985474,14.05839814,13.42837306,12.82417681,12.25010916
30,30,30,10836,1924114691,1,188083073.4,NA,3.55,1.25,15223.5,1417.75,2.2,1.05,41.05,4.2,5.4,2.85,2.55,3.35,2.05,3.15,0.2,431.1850795,21.336952,50.119307,30,10836,1924114691,1,188083073.4,NA,3.55,1.25,15223.5,89.12829183,-2.212104692,0.409013933,0.308171845,0.160312954,0.059970788,0.191836472,9822.5385,-0.03535715,11042.3365,11266.32202,11487.91639,11721.60679,11953.29301,12195.63434,12438.08951,12689.02387,12942.18257,13202.19568,13466.32601,13735.94457,14011.60833,14291.4441,14578.51981,14869.0749,20.45677673,19.47254037,18.64865284,17.7842452,17.02963204,16.24908641,15.55026339,14.84795732,14.20146646,13.5669662,12.97029817,12.39585023,11.84560424,11.32512987,10.81998826,10.34660198
